название,описание,url
Такси,Подключение к Яндекс Такси,https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_taxi&utm_content={ad_id}&utm_term={keyword}
Форматы работы,"Самозанятый, ИП, трудовой",https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_formats&utm_content={ad_id}&utm_term={keyword}#formats
Трудовой договор,3 варианта оформления,https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_labor&utm_content={ad_id}&utm_term={keyword}#labor-contract
Доставка,Курьер Яндекс Доставка,https://park-armada.ru/delivery/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_delivery&utm_content={ad_id}&utm_term={keyword}
Лицензия ФГИС,Реестр такси 3500₽ / 5 лет,https://park-armada.ru/license/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_license&utm_content={ad_id}&utm_term={keyword}
ОСГОП,Страхование для такси,https://park-armada.ru/osgop/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_osgop&utm_content={ad_id}&utm_term={keyword}
Канал MAX,Акции и бонусы,https://max.ru/id235208280463_biz
