тип,название,описание,url
основная_ссылка_объявления,П4 Трудовой,,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
быстрая_ссылка,Трудовой договор,3 тарифа без СМЗ и ИП,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_labor&utm_content={ad_id}&utm_term={keyword}
быстрая_ссылка,Тарифы 3% 5% 6%,Выбрать схему комиссии,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_labor&utm_content={ad_id}&utm_term={keyword}#labor-tariffs
быстрая_ссылка,Лицензия ФГИС,Реестр такси 3500₽ / 5 лет,https://park-armada.ru/license/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_license&utm_content={ad_id}&utm_term={keyword}
быстрая_ссылка,ОСГОП,Страхование 3400₽ / год,https://park-armada.ru/osgop/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_osgop&utm_content={ad_id}&utm_term={keyword}
быстрая_ссылка,Все форматы такси,"СМЗ, ИП, трудовой",https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_formats&utm_content={ad_id}&utm_term={keyword}#formats
быстрая_ссылка,Канал MAX,Акции и бонусы,https://max.ru/id235208280463_biz
доп_статья,Сравнение форматов,СМЗ ИП трудовой,https://park-armada.ru/blog/samozanyatyj-ip-trudovoj/?utm_source=yandex&utm_medium=cpc&utm_campaign=p4_trudovoj&utm_content={ad_id}&utm_term={keyword}
