название,описание,url
Трудовой договор,Без СМЗ и ИП — 3 тарифа,https://park-armada.ru/trudovoj-dogovor/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_labor&utm_content={ad_id}&utm_term={keyword}
Самозанятый 1.9%,Парковый СМЗ — такси,https://park-armada.ru/taxi/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_smz&utm_content={ad_id}&utm_term={keyword}#formats
Доставка,Курьер Яндекс Доставка,https://park-armada.ru/delivery/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_delivery&utm_content={ad_id}&utm_term={keyword}#courier-tariffs
Лицензия ФГИС,Реестр такси 3500₽ / 5 лет,https://park-armada.ru/license/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_license&utm_content={ad_id}&utm_term={keyword}
FAQ,Частые вопросы,https://park-armada.ru/faq/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_faq&utm_content={ad_id}&utm_term={keyword}
Статьи,Гайды для водителей,https://park-armada.ru/blog/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_blog&utm_content={ad_id}&utm_term={keyword}
По городам,Удалённо по России,https://park-armada.ru/goroda/?utm_source=yandex&utm_medium=cpc&utm_campaign=sitelink_cities&utm_content={ad_id}&utm_term={keyword}
Канал MAX,Акции и бонусы,https://max.ru/id235208280463_biz
